         73065575 function calls (72108445 primitive calls) in 193.787 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    2.239    0.746 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:46(draw)
        3    0.000    0.000    2.239    0.746 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:381(draw)
        3    0.000    0.000    2.239    0.746 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
   1655/3    0.002    0.000    2.239    0.746 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
        3    0.000    0.000    2.238    0.746 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/figure.py:3134(draw)
      6/3    0.000    0.000    2.236    0.745 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
2235/1607    0.003    0.000    2.217    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:665(lower_assign)
 1060/765    0.003    0.000    2.178    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:1185(lower_expr)
    69/55    0.001    0.000    2.016    0.037 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typed_passes.py:103(run_pass)
    69/55    0.001    0.000    2.015    0.037 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typed_passes.py:66(type_inference_stage)
        3    0.000    0.000    1.989    0.663 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:3005(draw)
    69/55    0.000    0.000    1.989    0.036 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:1067(propagate)
  141/112    0.005    0.000    1.988    0.018 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:142(propagate)
2300/1509    0.008    0.000    1.918    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:580(resolve)
3237/1677    0.002    0.000    1.897    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/context.py:189(resolve_function_type)
2300/1509    0.002    0.000    1.889    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:1519(resolve_call)
3237/1677    0.004    0.000    1.887    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
     11/3    0.000    0.000    1.820    0.607 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/artist.py:31(draw_wrapper)
        5    0.000    0.000    1.817    0.363 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/collections.py:346(draw)
        2    0.000    0.000    1.816    0.908 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/contour.py:1461(draw)
        5    1.815    0.363    1.816    0.363 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    16361    1.543    0.000    1.692    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/ffi.py:188(__call__)
