         73065575 function calls (72108445 primitive calls) in 193.787 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      467    0.001    0.000    0.007    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:62(make_array)
     2800    0.001    0.000    0.007    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/builder.py:290(_branch_helper)
     1126    0.003    0.000    0.007    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/artist.py:180(__init__)
    63133    0.006    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/logging/__init__.py:1734(isEnabledFor)
     6858    0.002    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/__init__.py:1285(is_interactive)
    20/11    0.006    0.000    0.006    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/core/numeric.py:1129(roll)
       69    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/targetconfig.py:290(get_mangle_string)
        1    0.000    0.000    0.006    0.006 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/importlib/metadata/__init__.py:1020(entry_points)
        1    0.000    0.000    0.006    0.006 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/importlib/metadata/__init__.py:473(load)
        2    0.000    0.000    0.006    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/fft/helper.py:19(fftshift)
     2441    0.003    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:2348(__init__)
      160    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/targets.py:9(get_process_triple)
       51    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/importlib/metadata/__init__.py:1037(<genexpr>)
     3657    0.004    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/cpu_options.py:115(<dictcomp>)
        4    0.000    0.000    0.006    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:3567(iternext_specific)
        4    0.000    0.000    0.006    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:3157(grid)
        8    0.000    0.000    0.006    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axis.py:1658(grid)
       59    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:208(get_text_width_height_descent)
      519    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/types/scalars.py:78(__init__)
      456    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/itanium_mangler.py:107(mangle_identifier)
     7333    0.006    0.000    0.006    0.000 {built-in method _functools.reduce}
      662    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/types/misc.py:76(maybe_literal)
     7621    0.003    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/context.py:455(_lookup_global)
     3859    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/warnings.py:165(simplefilter)
      303    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:652(get_returned_value)
      324    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/interpreter.py:1558(_end_current_block)
        3    0.006    0.002    0.006    0.002 {method 'flush_events' of '_macosx.FigureCanvas' objects}
     3248    0.005    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:1264(find_exprs)
     5906    0.004    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:562(<dictcomp>)
       71    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      219    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/pythonapi.py:1402(serialize_object)
      281    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/slicing.py:15(fix_index)
     6263    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/bytecode.py:200(_fetch_opcode)
    92042    0.006    0.000    0.006    0.000 {method 'copy' of 'dict' objects}
     4928    0.003    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:183(signature)
     1674    0.002    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/instructions.py:711(descr)
     1097    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/packer.py:167(__init__)
       71    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
     1537    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/instructions.py:140(<listcomp>)
       69    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/byteflow.py:1851(__init__)
       24    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axis.py:2514(get_tick_space)
       90    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:1266(_pass_manager_builder)
    13173    0.005    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
     8003    0.004    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
        1    0.000    0.000    0.006    0.006 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/legend.py:751(draw)
      241    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:147(fix_integer_index)
      678    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/arraydecl.py:209(generic)
        3    0.000    0.000    0.006    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:4866(array_copy)
        3    0.000    0.000    0.006    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:4820(_array_copy)
    82775    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     8961    0.005    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/controlflow.py:367(_add_edge)
       53    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/npyimpl.py:380(<listcomp>)
       96    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ast.py:197(fix_missing_locations)
     3894    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:818(dispatch)
       69    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:227(extract_function_arguments)
    38323    0.004    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/analysis.py:69(<genexpr>)
       90    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/llvm_bindings.py:36(create_pass_manager_builder)
  1960/96    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ast.py:205(_fix)
      462    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/interpreter.py:2652(_binop)
      307    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/extending.py:157(wrap)
       69    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/untyped_passes.py:265(run_pass)
      106    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/npyimpl.py:127(create_iter_indices)
       49    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
      691    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/models.py:708(traverse)
      211    0.001    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/typeof.py:90(_typeof_type)
      642    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1710(__eq__)
       56    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:187(draw_text)
       69    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/callconv.py:152(decode_arguments)
     1728    0.005    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/core/numeric.py:203(ones_like)
     1097    0.000    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/packer.py:170(_build_unflatten_code)
     1404    0.002    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
     4907    0.005    0.000    0.006    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
       42    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/npydecl.py:373(generic)
      199    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:97(_get_path)
     2419    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:1180(check_var)
      307    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/extending.py:140(register_jitable)
     7555    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/context.py:52(__getitem__)
    89248    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
      416    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/ffi.py:367(__exit__)
        4    0.000    0.000    0.005    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axis.py:2143(_get_tick_boxes_siblings)
      535    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:731(initialize)
      199    0.001    0.000    0.005    0.000 <frozen posixpath>:486(relpath)
     1287    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/artist.py:1093(set_label)
       54    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/pythonapi.py:1373(serialize_uncached)
      642    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:2162(__eq__)
     2771    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/colors.py:268(to_rgba)
        1    0.000    0.000    0.005    0.005 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/listobj.py:533(getslice_list)
       74    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:984(make_helper)
       69    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/transforms.py:361(with_lifting)
      535    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:738(finalize)
      247    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:847(fold_call_args)
      182    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:189(fold_arguments)
    11001    0.003    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:689(__call__)
      324    0.003    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/interpreter.py:1625(_remove_unused_temporaries)
      350    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/pythonapi.py:1300(_get_function)
     2300    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:667(_add_refine_map)
1363/1362    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1777(__eq__)
      848    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/lines.py:1053(set_color)
     7338    0.003    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/types.py:27(as_pointer)
     3464    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/interpreter.py:1815(get)
     2736    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:1091(_to_list)
       23    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/listobj.py:150(__init__)
    14678    0.004    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/lib/function_base.py:348(iterable)
      691    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/models.py:715(<listcomp>)
       69    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/transforms.py:524(find_setupwiths)
     2486    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/numpy_support.py:276(supported_ufunc_loop)
     1055    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/colors.py:240(_check_color_like)
     1849    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
      485    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:217(__call__)
     3525    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/types/abstract.py:443(literal_type)
2912/1097    0.004    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/packer.py:175(rec)
     1200    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typeinfer.py:1649(typeof_expr)
     2869    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/utils.py:37(erase_traceback)
    18905    0.003    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/byteflow.py:1570(get_inst)
      696    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:2786(get_affine)
      733    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:236(_pprint_list)
     1808    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/event.py:436(on_exit)
      387    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/interpreter.py:2668(op_BINARY_OP)
     2992    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/artist.py:269(convert_xunits)
     3168    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/context.py:228(<listcomp>)
       94    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:36(getlines)
      659    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/builder.py:858(ret)
       36    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1418(__sub__)
     4459    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/instructions.py:134(descr_arg)
        5    0.000    0.000    0.005    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/astropy/utils/decorators.py:828(__get__)
    15376    0.004    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/types.py:241(format_constant)
        1    0.000    0.000    0.005    0.005 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/astropy/io/fits/hdu/image.py:233(data)
       60    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/ticker.py:628(format_data_short)
      335    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/ufunc/array_exprs.py:33(match)
       69    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/transforms.py:529(find_ranges)
        5    0.000    0.000    0.005    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/linecache.py:80(updatecache)
     1805    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/models.py:101(<listcomp>)
     3381    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:1156(define)
21371/11131    0.004    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/packer.py:144(rec)
        1    0.000    0.000    0.005    0.005 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/astropy/io/fits/hdu/image.py:801(_get_scaled_image_data)
    61119    0.005    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/builder.py:195(block)
    34873    0.005    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/controlflow.py:117(successors)
      668    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:1171(_set_artist_props)
6676/6672    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/types.py:121(_to_string)
        1    0.000    0.000    0.005    0.005 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/astropy/io/fits/hdu/base.py:536(_get_raw_data)
       23    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/listobj.py:63(getitem)
      115    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:250(_prepare_font)
        1    0.005    0.005    0.005    0.005 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/astropy/io/fits/file.py:286(readarray)
       45    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/models.py:206(from_data)
     3382    0.003    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/builder.py:357(_set_terminator)
      115    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1596    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/targetconfig.py:57(top_or_none)
     2544    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/numpy_support.py:332(_ufunc_loop_sig)
        6    0.000    0.000    0.005    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/pythonapi.py:1433(from_native_return)
      742    0.002    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/arraydecl.py:21(get_array_index_type)
     5802    0.005    0.000    0.005    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      7/6    0.000    0.000    0.005    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/pythonapi.py:1440(from_native_value)
      293    0.000    0.000    0.005    0.000 {method 'min' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.005    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/ma/core.py:5859(max)
        8    0.000    0.000    0.005    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/listobj.py:194(setitem)
      735    0.001    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:413(_format_items)
      106    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/cgutils.py:618(loop_nest)
       45    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/listobj.py:60(_gep)
      343    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1872(inverted)
      289    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/core/_methods.py:43(_amin)
      585    0.000    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/callconv.py:774(_return_errcode_raw)
     3826    0.003    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/colors.py:216(_is_nth_color)
     1794    0.001    0.000    0.005    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/compiler_machinery.py:201(add_pass)
     3230    0.001    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:72(wrapper)
     4982    0.002    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/numpy_support.py:394(<listcomp>)
     6263    0.002    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/bytecode.py:177(_patched_opargs)
     1055    0.001    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/colors.py:221(is_color_like)
      775    0.000    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/backend_bases.py:690(new_gc)
        2    0.000    0.000    0.004    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/listobj.py:343(resize)
    72077    0.004    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:275(__contains__)
      528    0.002    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir_utils.py:1588(find_callname)
        2    0.000    0.000    0.004    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axis.py:2358(_update_label_position)
        7    0.004    0.001    0.004    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
    11346    0.003    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/datamodel/models.py:673(get_field_position)
        5    0.000    0.000    0.004    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/templates.py:1107(method_impl)
     1406    0.001    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:178(sub)
     4306    0.003    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:1535(get_definition)
       69    0.000    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typed_passes.py:541(run_pass)
  112/106    0.000    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/cgutils.py:646(_loop_nest)
     6026    0.002    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:158(invalidate)
     2715    0.003    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/typeof.py:66(_typeof_buffer)
      212    0.000    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:130(load_item)
      116    0.000    0.000    0.004    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/cgutils.py:486(for_range)
        2    0.000    0.000    0.004    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axis.py:2599(_update_label_position)
